data,codigo_estacao,nome_estacao,cota_cm,vazao_m3s,chuva_mm,rio,uf,municipio,bacia,sub_bacia,latitude,longitude,altitude,area_drenagem_km2,ano,mes,dia,trimestre,dia_semana,periodo_hidrologico,fonte_dados,nivel_consistencia,tipo_medicao,Dia_Maxima,Dia_Minima,cota_maxima_mes_cm,cota_media_mes_cm,cota_mediadiaria_mes_cm,cota_minima_mes_cm,uf_nome,operando
2021-02-21,13572000,ESPALHA (Seringal Belo Horizonte),1056.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,21,1,Sunday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-22,13572000,ESPALHA (Seringal Belo Horizonte),1047.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,22,1,Monday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-23,13572000,ESPALHA (Seringal Belo Horizonte),1039.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,23,1,Tuesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-24,13572000,ESPALHA (Seringal Belo Horizonte),1033.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,24,1,Wednesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-25,13572000,ESPALHA (Seringal Belo Horizonte),1018.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,25,1,Thursday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-26,13572000,ESPALHA (Seringal Belo Horizonte),997.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,26,1,Friday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-27,13572000,ESPALHA (Seringal Belo Horizonte),971.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,27,1,Saturday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-28,13572000,ESPALHA (Seringal Belo Horizonte),937.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,28,1,Sunday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-03-01,13572000,ESPALHA (Seringal Belo Horizonte),915.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,1,1,Monday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-02,13572000,ESPALHA (Seringal Belo Horizonte),907.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,2,1,Tuesday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
