AnoMes,Natureza da Carga,Sentido,ToneladasMovimentadas
2023-07,Carga Conteinerizada,Não Informado,62.42
2023-07,Carga Geral,Desembarcados,138577.719
2023-07,Carga Geral,Embarcados,72973.051
2023-07,Granel Líquido e Gasoso,Desembarcados,553555.519
2023-07,Granel Líquido e Gasoso,Embarcados,346888.179
2023-07,Granel Sólido,Desembarcados,811246.441
2023-07,Granel Sólido,Embarcados,806953.242
2023-08,Carga Conteinerizada,Desembarcados,597774.772
2023-08,Carga Conteinerizada,Embarcados,303816.787
2023-08,Carga Conteinerizada,Não Informado,11.583
2023-08,Carga Geral,Desembarcados,165782.505
2023-08,Carga Geral,Embarcados,76137.513
2023-08,Granel Líquido e Gasoso,Desembarcados,577312.382
2023-08,Granel Líquido e Gasoso,Embarcados,306157.712
2023-08,Granel Sólido,Desembarcados,788671.975
2023-08,Granel Sólido,Embarcados,715976.67
2023-09,Carga Conteinerizada,Desembarcados,429431.824
2023-09,Carga Conteinerizada,Embarcados,227379.166
2023-09,Carga Conteinerizada,Não Informado,30.67
2023-09,Carga Geral,Desembarcados,145616.414
2023-09,Carga Geral,Embarcados,78549.415
2023-09,Granel Líquido e Gasoso,Desembarcados,353902.957
2023-09,Granel Líquido e Gasoso,Embarcados,302032.783
2023-09,Granel Sólido,Desembarcados,534153.7880000001
2023-09,Granel Sólido,Embarcados,561317.386
2023-10,Carga Conteinerizada,Desembarcados,86916.442
2023-10,Carga Conteinerizada,Embarcados,57664.475
2023-10,Carga Conteinerizada,Não Informado,30.72
2023-10,Carga Geral,Desembarcados,344433.001
2023-10,Carga Geral,Embarcados,106249.071
2023-10,Granel Líquido e Gasoso,Desembarcados,194200.457
2023-10,Granel Líquido e Gasoso,Embarcados,155416.744
2023-10,Granel Sólido,Desembarcados,290897.553
2023-10,Granel Sólido,Embarcados,346827.102
2023-11,Carga Conteinerizada,Desembarcados,102111.807
2023-11,Carga Conteinerizada,Embarcados,77998.369
2023-11,Carga Conteinerizada,Não Informado,20.0
2023-11,Carga Geral,Desembarcados,170617.088
2023-11,Carga Geral,Embarcados,101587.53
2023-11,Granel Líquido e Gasoso,Desembarcados,217502.112
2023-11,Granel Líquido e Gasoso,Embarcados,133797.24
2023-11,Granel Líquido e Gasoso,Não Informado,119.418
2023-11,Granel Sólido,Desembarcados,240407.998
2023-11,Granel Sólido,Embarcados,406578.719
2023-12,Carga Conteinerizada,Desembarcados,410212.394
2023-12,Carga Conteinerizada,Embarcados,143663.056
2023-12,Carga Conteinerizada,Não Informado,62.52
2023-12,Carga Geral,Desembarcados,251038.075
2023-12,Carga Geral,Embarcados,96372.129
2023-12,Granel Líquido e Gasoso,Desembarcados,192163.898
2023-12,Granel Líquido e Gasoso,Embarcados,185638.887
2023-12,Granel Sólido,Desembarcados,564565.108
2023-12,Granel Sólido,Embarcados,349873.882
2024-01,Carga Conteinerizada,Desembarcados,533578.143
2024-01,Carga Conteinerizada,Embarcados,197282.585
2024-01,Carga Conteinerizada,Não Informado,576.3
2024-01,Carga Geral,Desembarcados,174885.353
2024-01,Carga Geral,Embarcados,80475.682
2024-01,Granel Líquido e Gasoso,Desembarcados,451262.606
2024-01,Granel Líquido e Gasoso,Embarcados,335441.759
2024-01,Granel Líquido e Gasoso,Não Informado,247.724
2024-01,Granel Sólido,Desembarcados,585453.501
2024-01,Granel Sólido,Embarcados,616237.885
2024-02,Carga Conteinerizada,Desembarcados,483044.185
2024-02,Carga Conteinerizada,Embarcados,262146.941
2024-02,Carga Geral,Desembarcados,127491.581
2024-02,Carga Geral,Embarcados,77244.858
2024-02,Granel Líquido e Gasoso,Desembarcados,379992.362
2024-02,Granel Líquido e Gasoso,Embarcados,228713.008
2024-02,Granel Sólido,Desembarcados,865337.498
2024-02,Granel Sólido,Embarcados,927561.238
2024-03,Carga Conteinerizada,Desembarcados,497959.065
2024-03,Carga Conteinerizada,Embarcados,274287.50299999997
2024-03,Carga Conteinerizada,Não Informado,58.615
2024-03,Carga Geral,Desembarcados,244026.285
2024-03,Carga Geral,Embarcados,84146.148
2024-03,Granel Líquido e Gasoso,Desembarcados,404339.943
2024-03,Granel Líquido e Gasoso,Embarcados,358877.227
2024-03,Granel Sólido,Desembarcados,898113.597
2024-03,Granel Sólido,Embarcados,766258.498
2024-04,Carga Conteinerizada,Desembarcados,495988.546
2024-04,Carga Conteinerizada,Embarcados,250583.754
2024-04,Carga Conteinerizada,Não Informado,919.03
2024-04,Carga Geral,Desembarcados,172857.42799999999
2024-04,Carga Geral,Embarcados,88716.583
2024-04,Granel Líquido e Gasoso,Desembarcados,282441.174
2024-04,Granel Líquido e Gasoso,Embarcados,300133.787
2024-04,Granel Sólido,Desembarcados,854205.259
2024-04,Granel Sólido,Embarcados,741163.155
2024-05,Carga Conteinerizada,Desembarcados,410041.705
2024-05,Carga Conteinerizada,Embarcados,209178.557
2024-05,Carga Conteinerizada,Não Informado,162.37199999999999
2024-05,Carga Geral,Desembarcados,213571.69
2024-05,Carga Geral,Embarcados,81163.372
2024-05,Granel Líquido e Gasoso,Desembarcados,300501.354
2024-05,Granel Líquido e Gasoso,Embarcados,301059.908
2024-05,Granel Sólido,Desembarcados,809546.41
