municipio_ceasa,cod_ibge_municipio,uf_ceasa,dsc_ceasa,dsc_produto,sig_unidade_medida,data_preco,preco_diario
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/10/10 00:00:00.000,3.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/10/19 00:00:00.000,2.91
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/09/26 00:00:00.000,2.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/10/03 00:00:00.000,2.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/22 00:00:00.000,2.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/07/25 00:00:00.000,2.11
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/17 00:00:00.000,2.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/10 00:00:00.000,2.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/09/05 00:00:00.000,2.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/31 00:00:00.000,2.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/07/27 00:00:00.000,2.57
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/24 00:00:00.000,2.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/29 00:00:00.000,2.64
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/08 00:00:00.000,1.94
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/01 00:00:00.000,2.28
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/15 00:00:00.000,2.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/08/03 00:00:00.000,2.5
