produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
CACAU EXTRATIVO,AMÊNDOA,10920,BORBA-AM,1300805,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,39.0
CACAU EXTRATIVO,AMÊNDOA,10920,COARI-AM,1301209,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,37.0
CACAU EXTRATIVO,AMÊNDOA,10920,CODAJÁS-AM,1301308,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,32.0
CACAU EXTRATIVO,AMÊNDOA,10920,MANICORÉ-AM,1302702,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,38.5
CACAU EXTRATIVO,AMÊNDOA,10920,BOCA DO ACRE-AM,1300706,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,30.0
CACAU EXTRATIVO,AMÊNDOA,10920,BORBA-AM,1300805,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,37.0
CACAU EXTRATIVO,AMÊNDOA,10920,COARI-AM,1301209,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,37.0
CACAU EXTRATIVO,AMÊNDOA,10920,CODAJÁS-AM,1301308,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,32.0
CACAU EXTRATIVO,AMÊNDOA,10920,MANICORÉ-AM,1302702,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,35.0
CACAU EXTRATIVO,AMÊNDOA,10920,VIGIA-PA,1508209,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,8.93
CACAU EXTRATIVO,AMÊNDOA,10920,BOCA DO ACRE-AM,1300706,AM,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,32.0
CACAU EXTRATIVO,AMÊNDOA,10920,BORBA-AM,1300805,AM,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,35.0
CACAU EXTRATIVO,AMÊNDOA,10920,COARI-AM,1301209,AM,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,37.0
CACAU EXTRATIVO,AMÊNDOA,10920,CODAJÁS-AM,1301308,AM,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,32.0
